num_people,showers_per_day,washing_machine_uses,dishwasher_uses,ac_hours,fridge_hours,house_area,temperature,water_liters,electricity_kwh
4,1,0,1,0,18,96,23,360.0339642572089,9.684511892097
5,1,1,0,4,18,158,28,409.39241578751006,18.10899417672322
3,2,1,0,5,23,64,25,346.01985590312665,10.12852482642331
5,1,1,0,5,19,185,21,403.54750783679094,17.70104975493706
5,2,1,1,2,23,54,36,473.3836925161263,4.749847058127906
2,2,0,1,6,21,96,24,353.3474334412832,16.246104318006253
3,3,0,0,8,18,117,25,434.7134937396895,19.344018349286628
3,2,1,0,9,18,125,31,366.68123034409206,18.259475534584624
3,3,0,0,7,22,179,29,345.08665602012326,19.583770116839794
5,1,0,0,5,21,144,25,312.4325762581443,15.112469100954659
4,1,1,1,7,18,164,27,376.3801852212055,15.16308433263945
3,1,0,1,4,21,85,21,224.76272515920522,14.242008295200254
6,1,1,0,7,19,75,31,448.6195497000754,12.516093522235138
5,3,0,0,9,20,92,32,486.248426714595,15.879701455484156
2,1,1,1,3,18,76,26,282.50309394125776,8.899160291076333
4,2,1,1,9,22,118,29,464.5929035387596,20.891097170724557
6,2,1,0,7,19,197,32,510.68764800245697,18.96739356981594
6,2,1,0,9,21,60,36,512.9317192050069,11.99562955719311
2,3,0,0,1,23,123,33,340.911843289401,7.876003878540932
4,1,1,1,4,19,153,21,367.38015740252104,15.198280838157983
5,1,1,1,8,18,87,30,448.14989536834514,20.129500575618373
1,1,1,1,3,21,183,20,230.717890995354,12.330160067253688
4,3,0,0,5,20,72,38,477.30006467994946,9.006996465038341
2,2,1,0,0,19,96,23,346.4096487654245,3.6748089983223693
6,2,0,1,8,18,139,38,512.074277387812,15.07655001740132
5,1,1,1,0,22,95,30,432.6513213592957,9.36138292016286
4,2,0,0,4,23,156,27,363.1472300258059,17.88937715072876
1,2,0,1,3,21,189,30,274.62641159818355,15.505511787160804
1,3,1,1,2,19,190,23,382.43414232925943,12.864574455718287
3,3,0,0,5,19,153,36,400.93558708330477,19.132287573725254
3,3,1,1,1,20,160,26,484.67524935677085,11.547816083313009
2,3,1,0,2,20,153,27,404.6272788322539,14.22887341872087
4,1,1,0,4,22,109,22,326.6220746851656,11.417102116556368
4,3,0,0,8,23,149,21,425.14971298286116,19.43848770844755
6,2,0,0,1,22,117,34,441.43461097167096,6.775316709105907
6,1,1,0,9,18,182,24,461.8873761784634,22.95849794378717
6,2,1,0,7,18,169,20,550.8041185644732,19.031875501546633
3,2,0,0,1,22,86,23,308.10493252843196,5.910873535172431
4,2,1,1,4,23,121,34,464.59255860327306,11.387785700947077
4,3,1,0,6,22,176,39,506.9505728978981,21.431917006677487
1,3,1,0,7,23,155,38,343.7844816021403,22.393337500923636
3,1,0,1,0,23,141,22,277.2452604959376,8.92372932666536
5,1,0,1,5,21,80,39,373.0506938751896,12.235507145524325
3,3,0,1,0,23,171,30,382.14908029392075,11.650228949296435
5,2,1,0,1,20,186,36,474.3378199752949,12.796063516319375
1,1,1,1,0,23,100,32,212.35945317585143,3.9514045589227402
2,3,1,0,4,23,78,30,402.18122860669547,11.855741354380772
4,3,0,0,9,23,89,21,426.5913686590748,13.374221930798782
1,3,1,0,8,18,90,28,359.071592585172,14.434631617484762
4,2,1,0,5,20,60,21,423.4017052973305,12.010854293249636
6,3,1,1,0,20,50,28,632.9771861235832,5.699988415849674
2,3,1,1,0,22,95,28,462.1477685667743,5.32985383158102
2,3,0,0,1,21,150,27,351.14357321338497,9.883126119626166
1,3,0,0,8,23,198,36,275.92210699399135,20.612326982003093
2,1,1,0,2,19,139,20,238.88906534373157,11.04431167372786
5,1,0,1,0,21,159,30,369.83586110799223,9.996411306728673
2,3,0,0,4,21,106,27,349.80839143405535,13.536936259058223
4,2,1,0,6,20,50,29,417.9243952187586,10.666206274220432
4,1,1,1,5,21,112,26,375.3201866619567,14.446792383827109
4,3,0,1,0,23,104,22,506.9361208017394,8.514031528974384
4,1,1,0,4,23,164,22,338.26903822957314,15.696578754743731
5,1,0,1,4,18,192,37,398.2160917691757,15.680788355101054
3,2,1,1,5,23,198,24,432.0733388505161,18.561290928550882
